CustomerID,Lookalikes
C0001,"[('C0152', 0.9999986954105654), ('C0174', 0.9997133867664305), ('C0064', 0.9993841135815794)]"
C0002,"[('C0133', 0.9978729065754757), ('C0062', 0.9975929318317053), ('C0159', 0.9975742711692481)]"
C0003,"[('C0166', 0.9998573951675882), ('C0031', 0.999274487916083), ('C0026', 0.9990724512457297)]"
C0004,"[('C0012', 0.998803808464272), ('C0047', 0.9918475886529601), ('C0065', 0.9917533987114977)]"
C0005,"[('C0197', 0.9999763907119462), ('C0007', 0.9993770871840076), ('C0199', 0.9976759733900089)]"
C0006,"[('C0079', 0.9999992468255506), ('C0196', 0.9992664958948604), ('C0135', 0.9984028585872425)]"
C0007,"[('C0005', 0.9993770871840076), ('C0197', 0.9991109908572395), ('C0199', 0.9968864218468423)]"
C0008,"[('C0109', 0.998146520324587), ('C0093', 0.9980731947487109), ('C0147', 0.9976960097360833)]"
C0009,"[('C0198', 0.9975618866462608), ('C0092', 0.9885271801816342), ('C0066', 0.9825358351679687)]"
C0010,"[('C0142', 0.9994375734691648), ('C0132', 0.9976307430814347), ('C0061', 0.9972749071912521)]"
C0011,"[('C0107', 0.9999852247634479), ('C0183', 0.9999811083930875), ('C0016', 0.9999727506280961)]"
C0012,"[('C0004', 0.998803808464272), ('C0018', 0.99457826819616), ('C0148', 0.9945548453294962)]"
C0013,"[('C0087', 0.9996024649246653), ('C0155', 0.9995618171619943), ('C0101', 0.9984757533242549)]"
C0014,"[('C0151', 0.9999600543822388), ('C0097', 0.9998538526669166), ('C0060', 0.9997512176329124)]"
C0015,"[('C0123', 0.9998711619841127), ('C0071', 0.9974541575777083), ('C0131', 0.9962846087134307)]"
C0016,"[('C0183', 0.999999236734928), ('C0011', 0.9999727506280961), ('C0107', 0.9999178456331371)]"
C0017,"[('C0162', 0.9999978637961631), ('C0113', 0.9999969057493724), ('C0021', 0.9996003693073763)]"
C0018,"[('C0148', 0.9994389184178497), ('C0064', 0.9992995165955451), ('C0152', 0.997486598862277)]"
C0019,"[('C0191', 0.9965609151316052), ('C0125', 0.990165491624432), ('C0070', 0.9896109948960139)]"
C0020,"[('C0130', 0.9995444526367542), ('C0120', 0.9715347681861707), ('C0140', 0.7075478180728354)]"
